Name,PD,HOMFLY
11a_265,[[6;2;7;1];[16;6;17;5];[22;17;1;18];[14;7;15;8];[8;3;9;4];[4;9;5;10];[18;14;19;13];[20;12;21;11];[12;20;13;19];[10;22;11;21];[2;16;3;15]],(1-v^2+ 2*v^4-v^6)+ (v^(-2)-1-2*v^2+ 4*v^4-v^6)*z^2+ (v^(-2)-2-2*v^2+ 2*v^4)*z^4+ (-1-v^2)*z^6
11a_266,[[6;2;7;1];[10;3;11;4];[14;7;15;8];[18;11;19;12];[12;6;13;5];[4;18;5;17];[20;16;21;15];[16;10;17;9];[22;13;1;14];[2;19;3;20];[8;21;9;22]],(-v^(-4)+ 3*v^(-2)-2+ v^2)+ (1-v^2)*z^2+ (v^(-4)-4*v^(-2)+ 6-2*v^2)*z^4+ (-2*v^(-2)+ 4-v^2)*z^6+ z^8
11a_267,[[6;2;7;1];[20;10;21;9];[10;3;11;4];[2;19;3;20];[14;7;15;8];[18;11;19;12];[12;6;13;5];[4;18;5;17];[8;15;9;16];[22;13;1;14];[16;21;17;22]],1+ (-v^(-6)+ 3*v^(-4)-3*v^(-2)+ 1)*z^2+ (-v^(-6)+ 5*v^(-4)-6*v^(-2)+ 2)*z^4+ (2*v^(-4)-4*v^(-2)+ 1)*z^6+ (-v^(-2))*z^8
11a_268,[[6;2;7;1];[18;8;19;7];[10;3;11;4];[2;17;3;18];[16;11;17;12];[12;6;13;5];[4;16;5;15];[20;10;21;9];[22;13;1;14];[8;20;9;19];[14;21;15;22]],(2-2*v^2+ v^4)+ (-2*v^(-2)+ 7-9*v^2+ 3*v^4)*z^2+ (-v^(-2)+ 7-10*v^2+ 3*v^4)*z^4+ (2-5*v^2+ v^4)*z^6-v^2*z^8
11a_269,[[6;2;7;1];[20;8;21;7];[18;11;19;12];[12;6;13;5];[2;19;3;20];[8;16;9;15];[10;3;11;4];[16;10;17;9];[4;18;5;17];[22;13;1;14];[14;21;15;22]],(v^(-2)-v^2+ v^4)+ (-v^(-2)+ 4-8*v^2+ 3*v^4)*z^2+ (-v^(-2)+ 6-10*v^2+ 3*v^4)*z^4+ (2-5*v^2+ v^4)*z^6-v^2*z^8
11a_270,[[6;2;7;1];[18;10;19;9];[10;3;11;4];[2;17;3;18];[20;8;21;7];[16;11;17;12];[12;6;13;5];[4;16;5;15];[8;20;9;19];[22;13;1;14];[14;21;15;22]],(v^(-2)-v^2+ v^4)+ (-v^(-4)+ 2*v^(-2)-1-3*v^2+ v^4)*z^2+ (2*v^(-2)-1-2*v^2+ v^4)*z^4+ (-1-v^2)*z^6
11a_271,[[6;2;7;1];[22;8;1;7];[18;11;19;12];[12;6;13;5];[2;19;3;20];[16;10;17;9];[10;3;11;4];[14;22;15;21];[20;16;21;15];[8;14;9;13];[4;18;5;17]],(1+ v^4-2*v^6+ v^8)+ (-2*v^2+ 5*v^4-5*v^6+ v^8)*z^2+ (-1+ 5*v^4-3*v^6)*z^4+ (v^2+ 2*v^4)*z^6
11a_272,[[6;2;7;1];[18;10;19;9];[10;3;11;4];[2;17;3;18];[22;8;1;7];[16;11;17;12];[12;6;13;5];[4;16;5;15];[8;22;9;21];[20;13;21;14];[14;19;15;20]],(2-2*v^2+ v^4)+ (-v^(-4)+ v^(-2)+ 2-4*v^2+ v^4)*z^2+ (2*v^(-2)-2*v^2+ v^4)*z^4+ (-1-v^2)*z^6
11a_273,[[6;2;7;1];[16;8;17;7];[10;3;11;4];[20;9;21;10];[18;13;19;14];[12;19;13;20];[2;15;3;16];[8;21;9;22];[14;5;15;6];[4;11;5;12];[22;18;1;17]],(v^(-8)-2*v^(-6)+ 2*v^(-2))+ (v^(-8)-5*v^(-6)+ 4*v^(-4)+ v^(-2)-1)*z^2+ (-3*v^(-6)+ 5*v^(-4)+ v^(-2)-1)*z^4+ (2*v^(-4)+ v^(-2))*z^6
11a_274,[[6;2;7;1];[10;4;11;3];[18;7;19;8];[8;19;9;20];[2;10;3;9];[20;11;21;12];[14;5;15;6];[4;15;5;16];[16;22;17;21];[22;14;1;13];[12;17;13;18]],(2*v^(-4)-5*v^(-2)+ 5-v^2)+ (2*v^(-4)-10*v^(-2)+ 11-4*v^2)*z^2+ (v^(-4)-7*v^(-2)+ 11-3*v^2)*z^4+ (-2*v^(-2)+ 5-v^2)*z^6+ z^8
11a_275,[[6;2;7;1];[10;4;11;3];[20;8;21;7];[22;15;1;16];[18;12;19;11];[12;18;13;17];[16;21;17;22];[8;20;9;19];[14;6;15;5];[2;10;3;9];[4;14;5;13]],(v^2+ v^4-3*v^6+ 4*v^8-2*v^10)+ (2*v^2+ 2*v^4-6*v^6+ 7*v^8-v^10)*z^2+ (v^2-v^4-6*v^6+ 3*v^8)*z^4+ (-v^4-2*v^6)*z^6
11a_276,[[6;2;7;1];[14;6;15;5];[20;8;21;7];[22;15;1;16];[16;21;17;22];[8;18;9;17];[10;4;11;3];[4;10;5;9];[12;20;13;19];[18;12;19;11];[2;14;3;13]],(3*v^4-3*v^6+ 2*v^8-v^10)+ (v^2+ 4*v^4-5*v^6+ 5*v^8-v^10)*z^2+ (v^2-5*v^6+ 3*v^8)*z^4+ (-v^4-2*v^6)*z^6
11a_277,[[6;2;7;1];[12;8;13;7];[16;5;17;6];[4;10;5;9];[10;4;11;3];[2;17;3;18];[18;11;19;12];[8;19;9;20];[20;14;21;13];[22;16;1;15];[14;22;15;21]],(3-4*v^2+ 2*v^4)+ (3-10*v^2+ 7*v^4-2*v^6)*z^2+ (3-10*v^2+ 7*v^4-v^6)*z^4+ (1-5*v^2+ 2*v^4)*z^6-v^2*z^8
